London Bridge,51.504674,-0.086006
London City Airport,51.50369,0.047873
London Fields,51.540719,-0.0577
Loughborough Junction,51.466679,-0.102497
Loughton,51.64157,0.055279
Lower Sydenham,51.424847,-0.03333
Maida Vale,51.529995,-0.185433
Maidenhead,51.518669,-0.722675
Malden Manor,51.38461,-0.26112
Manor House,51.570747,-0.095685
Manor Park,51.552854,0.045724
Mansion House,51.512092,-0.094198
Marble Arch,51.513965,-0.158571
Maryland,51.545668,0.005682
Marylebone,51.522397,-0.163493
Maze Hill,51.483014,0.003205
Meridian Water,51.608312,-0.05096
Merton Park,51.413392,-0.201342
Mile End,51.525311,-0.032666
Mill Hill Broadway,51.612871,-0.249537
Mill Hill East,51.608317,-0.209896
Mitcham,51.397489,-0.170872
Mitcham Eastfields,51.408384,-0.154002
Mitcham Junction,51.393043,-0.157437
Monument,51.51063,-0.086188
Moor Park,51.629931,-0.432913
Moorgate,51.518437,-0.089018
Morden,51.402186,-0.194852
Morden Road,51.408872,-0.192806
Morden South,51.396308,-0.200302
Mornington Crescent,51.534362,-0.138744
Mortlake,51.468168,-0.267203
Motspur Park,51.39532,-0.23944
Mottingham,51.439825,0.050324
Mudchute,51.491236,-0.01496
Neasden,51.554628,-0.250115
New Addington,51.342591,-0.017383
New Barnet,51.648537,-0.17297
New Beckenham,51.416706,-0.035305
New Cross,51.476429,-0.032279
New Cross Gate,51.475265,-0.039529
New Eltham,51.437691,0.070445
New Malden,51.403556,-0.256218
New Southgate,51.614094,-0.14301
Newbury Park,51.575638,0.090303
Nine Elms,51.480001,-0.128501
Norbiton,51.411909,-0.2842
Norbury,51.411189,-0.122799
North Acton,51.523432,-0.25973
North Dulwich,51.454482,-0.087919
North Ealing,51.517622,-0.288994
North Greenwich,51.500255,0.003586
North Harrow,51.584631,-0.362633
North Sheen,51.46542,-0.286397
North Wembley,51.562396,-0.303948
Northfields,51.500492,-0.315065
Northolt,51.548213,-0.368441
Northolt Park,51.557619,-0.359434
Northumberland Park,51.602016,-0.054132
Northwick Park,51.578509,-0.318199
Northwood,51.611214,-0.423838
Northwood Hills,51.600803,-0.409311
Norwood Junction,51.396954,-0.07521
Notting Hill Gate,51.509375,-0.195922
Nunhead,51.46658,-0.05368
Oakleigh Park,51.637676,-0.166195
Oakwood,51.647638,-0.131854
Ockendon,51.52199,0.290483
Old Street,51.525581,-0.087623
Orpington,51.37352,0.089029
Osterley,51.481217,-0.352096
Oval,51.481413,-0.113321
Oxford Circus,51.515223,-0.140836
Paddington,51.515394,-0.175737
Palmers Green,51.618787,-0.110272
Park Royal,51.526834,-0.284929
Parsons Green,51.47496,-0.201124
Peckham Rye,51.469511,-0.069984
Penge East,51.419975,-0.054495
Penge West,51.418063,-0.060646
Perivale,51.536342,-0.32307
Petts Wood,51.388599,0.07448
Phipps Bridge,51.403377,-0.182297
Piccadilly Circus,51.509697,-0.133712
Pimlico,51.489553,-0.133108
Pinner,51.592362,-0.381224
Plaistow,51.531288,0.017781
Plumstead,51.489792,0.0843
Ponders End,51.642731,-0.034525
Pontoon Dock,51.502216,0.033326
Poplar,51.507588,-0.017275
Preston Road,51.572104,-0.294972
Prince Regent,51.509435,0.033489
Pudding Mill Lane,51.534328,-0.012769
Purfleet,51.481173,0.236775
Purley,51.337364,-0.113614
Purley Oaks,51.346989,-0.098815
Putney,51.460953,-0.216603
Putney Bridge,51.467865,-0.209365
Queens Park,51.534313,-0.204798
Queens Road Peckham,51.474285,-0.057355
Queensbury,51.593883,-0.286332
Queenstown Road,51.474959,-0.147355
Queensway,51.510449,-0.18742
Rainham,51.517341,0.190692
Ravensbourne,51.41387,-0.006938
Ravenscourt Park,51.494068,-0.235969
Rayners Lane,51.575397,-0.371061
Raynes Park,51.409375,-0.229913
Reading,51.458786,-0.971878
Rectory Road,51.558763,-0.068386
Redbridge,51.576367,0.045394
Reedham,51.331442,-0.123403
Reeves Corner,51.375277,-0.10638
Regents Park,51.523811,-0.145344
Richmond,51.463233,-0.301739
Rickmansworth,51.640323,-0.473685
Riddlesdown,51.332675,-0.099494
Roding Valley,51.616956,0.044026
Romford,51.574642,0.183055
Rotherhithe,51.501595,-0.052966
Royal Albert,51.508494,0.045177
Royal Oak,51.518294,-0.188824
Royal Victoria,51.509055,0.017965
Ruislip,51.572162,-0.421235
Ruislip Gardens,51.55996,-0.409294
Ruislip Manor,51.573452,-0.412849
Russell Square,51.523013,-0.12459
Sanderstead,51.348246,-0.093708
Sandilands,51.375022,-0.078027
Selhurst,51.392186,-0.089899
Seven Kings,51.563993,0.09632
Seven Sisters,51.583362,-0.072467
Shadwell,51.5113,-0.056919
Shenfield,51.630873,0.329952
Shepherds Bush,51.504532,-0.218519
Shepherds Bush Market,51.505881,-0.2274
Shoreditch High Street,51.523467,-0.077087
Shortlands,51.405602,0.002768
Sidcup,51.434398,0.103315
Silver Street,51.615242,-0.07259
Slade Green,51.467748,0.190518
Sloane Square,51.49236,-0.156489
Slough,51.51188,-0.591525
Snaresbrook,51.580891,0.021464
South Acton,51.499686,-0.270215
South Bermondsey,51.487677,-0.054755
South Croydon,51.36275,-0.092517
South Ealing,51.501644,-0.30704
South Greenford,51.534028,-0.336737
South Hampstead,51.541477,-0.178371
South Harrow,51.56468,-0.351894
South Kensington,51.494071,-0.173923
South Kenton,51.571044,-0.308143
South Merton,51.403241,-0.20555
South Quay,51.500864,-0.018461
South Ruislip,51.55689,-0.399116
South Tottenham,51.580403,-0.071856
South Wimbledon,51.415361,-0.191975
South Woodford,51.591553,0.027943
Southall,51.505957,-0.378711
Southbury,51.648434,-0.052983
Southfields,51.444883,-0.206609
Southgate,51.632376,-0.12777
Southwark,51.503854,-0.105795
St Helier,51.389912,-0.199015
St James Street,51.580609,-0.032805
St Johns,51.468975,-0.023241
St Margarets,51.455206,-0.321324
St Mary Cray,51.394759,0.107218
St Pancras,51.530554,-0.125506
St. James's Park,51.49961,-0.133879
St. Johns Wood,51.534854,-0.174065
St. Pauls,51.514835,-0.097571
Stamford Brook,51.49445,-0.245246
Stamford Hill,51.574448,-0.076668
Stanmore,51.619673,-0.303099
Star Lane,51.520604,0.004191
Stepney Green,51.521996,-0.047383
Stockwell,51.472159,-0.122846
Stoke Newington,51.564638,-0.072335
Stonebridge Park,51.543987,-0.2754
Stoneleigh,51.363364,-0.24871
Stratford,51.541693,-0.003752
Stratford High Street,51.538149,-0.00108
Stratford International,51.544809,-0.008778
Strawberry Hill,51.439748,-0.339618
Streatham,51.425846,-0.132325
Streatham Common,51.418985,-0.135726
Streatham Hill,51.43846,-0.127681
Sudbury and Harrow Road,51.554494,-0.315926
Sudbury Hill,51.55734,-0.336392
Sudbury Hill Harrow,51.558342,-0.335447
Sudbury Town,51.551397,-0.316343
Sundridge Park,51.413394,0.020365
Surbiton,51.3926,-0.304385
Surrey Quays,51.493267,-0.04753
Sutton,51.359506,-0.191302
Sutton Common,51.375555,-0.19692
Swiss Cottage,51.543035,-0.175627
Sydenham,51.427341,-0.055089
Sydenham Hill,51.432576,-0.08023
Syon Lane,51.481475,-0.326495
Tadworth,51.291628,-0.236008
Taplow,51.523562,-0.681385
Tattenham Corner,51.309181,-0.242566
Teddington,51.424497,-0.332705
Temple,51.511041,-0.113726
Thames Ditton,51.388616,-0.338293
Theobalds Grove,51.692373,-0.034748
Therapia Lane,51.385686,-0.129017
Theydon Bois,51.672552,0.102891
Thornton Heath,51.398481,-0.100433
Tolworth,51.376843,-0.27962
Tooting,51.419897,-0.161002
Tooting Bec,51.435838,-0.1597
Tooting Broadway,51.427049,-0.168685
Tottenham Court Road,51.516211,-0.13111
Tottenham Hale,51.587998,-0.060188
Totteridge and Whetstone,51.630247,-0.179354
Tower Gateway,51.510393,-0.07441
Tower Hill,51.510394,-0.076701
Tufnell Park,51.556441,-0.137742
Tulse Hill,51.439797,-0.105123
Turkey Street,51.672654,-0.04723
Turnham Green,51.495182,-0.254525
Turnpike Lane,51.590358,-0.102805
Twickenham,51.450251,-0.32886
Twyford,51.475534,-0.863307
Upminster,51.558763,0.251401
Upminster Bridge,51.557719,0.234542
Upney,51.538406,0.101532
Upper Holloway,51.563623,-0.129109
Upper Warlingham,51.308772,-0.077482
Upton Park,51.536628,0.034542
Uxbridge,51.546455,-0.477102
Vauxhall,51.485736,-0.12383
Victoria,51.496424,-0.143921
Waddon,51.367379,-0.117394
Waddon Marsh,51.377083,-0.117987
Wallington,51.360332,-0.150864
Waltham Cross,51.685257,-0.026564
Walthamstow Central,51.583018,-0.019941
Walthamstow Queens Road,51.581546,-0.023844
Wandle Park,51.373401,-0.113253
Wandsworth Common,51.446366,-0.163537
Wandsworth Road,51.470223,-0.139038
Wandsworth Town,51.461034,-0.18791
Wanstead,51.574902,0.02876
Wanstead Park,51.551778,0.02639
Wapping,51.50434,-0.055861
Warren Street,51.52458,-0.138278
Warwick Avenue,51.523104,-0.182953
Waterloo,51.503147,-0.113259
Waterloo East,51.504169,-0.109154
Watford,51.657605,-0.41727
Watford High Street,51.652654,-0.391697
Watford Junction,51.663883,-0.396172
Wellesley Road,51.375368,-0.097525
Welling,51.464777,0.101775
Wembley Central,51.551865,-0.296392
Wembley Park,51.563322,-0.279243
Wembley Stadium,51.554655,-0.286046
West Acton,51.51777,-0.280657
West Brompton,51.487329,-0.195539
West Croydon,51.378552,-0.102034
West Drayton,51.510071,-0.472176
West Dulwich,51.440912,-0.090673
West Ealing,51.513625,-0.319783
West Finchley,51.609263,-0.188917
West Ham,51.528526,0.005317
West Hampstead,51.547474,-0.191127
